合约,最小下单量
BTC-USDT,0.001
ETH-USDT,0.001
BCH-USDT,0.001
XRP-USDT,0.1
EOS-USDT,0.1
LTC-USDT,0.001
TRX-USDT,1
ETC-USDT,0.01
LINK-USDT,0.01
XLM-USDT,1
ADA-USDT,1
XMR-USDT,0.001
DASH-USDT,0.001
ZEC-USDT,0.001
XTZ-USDT,0.1
BNB-USDT,0.01
ATOM-USDT,0.01
ONT-USDT,0.1
IOTA-USDT,0.1
BAT-USDT,0.1
VET-USDT,1
NEO-USDT,0.01
QTUM-USDT,0.1
IOST-USDT,1
THETA-USDT,0.1
ALGO-USDT,0.1
ZIL-USDT,1
KNC-USDT,1
ZRX-USDT,0.1
COMP-USDT,0.001
OMG-USDT,0.1
DOGE-USDT,1
SXP-USDT,0.1
KAVA-USDT,0.1
BAND-USDT,0.1
RLC-USDT,0.1
WAVES-USDT,0.1
MKR-USDT,0.001
SNX-USDT,0.1
DOT-USDT,0.1
DEFI-USDT,0.001
YFI-USDT,0.001
BAL-USDT,0.1
CRV-USDT,0.1
TRB-USDT,0.1
RUNE-USDT,1
SUSHI-USDT,1
EGLD-USDT,0.1
SOL-USDT,1
ICX-USDT,1
STORJ-USDT,1
BLZ-USDT,1
UNI-USDT,1
AVAX-USDT,1
FTM-USDT,1
ENJ-USDT,1
FLM-USDT,1
REN-USDT,1
KSM-USDT,0.1
NEAR-USDT,1
AAVE-USDT,0.1
FIL-USDT,0.1
RSR-USDT,1
LRC-USDT,1
OCEAN-USDT,1
CVC-USDT,1
BEL-USDT,1
CTK-USDT,1
AXS-USDT,1
ALPHA-USDT,1
ZEN-USDT,0.1
SKL-USDT,1
GRT-USDT,1
1INCH-USDT,1
CHZ-USDT,1
SAND-USDT,1
ANKR-USDT,1
LIT-USDT,0.1
UNFI-USDT,0.1
REEF-USDT,1
RVN-USDT,1
SFP-USDT,1
XEM-USDT,1
BTCST-USDT,0.1
COTI-USDT,1
CHR-USDT,1
MANA-USDT,1
ALICE-USDT,0.1
HBAR-USDT,1
ONE-USDT,1
LINA-USDT,1
STMX-USDT,1
DENT-USDT,1
CELR-USDT,1
HOT-USDT,1
MTL-USDT,1
OGN-USDT,1
NKN-USDT,1
SC-USDT,1
DGB-USDT,1
1000SHIB-USDT,1
BAKE-USDT,1
GTC-USDT,0.1
BTCDOM-USDT,0.001
IOTX-USDT,1
RAY-USDT,0.1
C98-USDT,1
MASK-USDT,1
ATA-USDT,1
DYDX-USDT,0.1
1000XEC-USDT,1
GALA-USDT,1
CELO-USDT,0.1
AR-USDT,0.1
KLAY-USDT,0.1
ARPA-USDT,1
CTSI-USDT,1
LPT-USDT,0.1
ENS-USDT,0.1
PEOPLE-USDT,1
ROSE-USDT,1
DUSK-USDT,1
FLOW-USDT,0.1
IMX-USDT,1
API3-USDT,0.1
GMT-USDT,1
APE-USDT,1
WOO-USDT,1
FTT-USDT,0.1
JASMY-USDT,1
DAR-USDT,0.1
OP-USDT,0.1
INJ-USDT,0.1
STG-USDT,1
SPELL-USDT,1
1000LUNC-USDT,1
LUNA2-USDT,1
LDO-USDT,1
CVX-USDT,1
ICP-USDT,1
APT-USDT,0.1
QNT-USDT,0.1
FET-USDT,1
FXS-USDT,0.1
HOOK-USDT,0.1
MAGIC-USDT,0.1
T-USDT,1
HIGH-USDT,0.1
MINA-USDT,1
ASTR-USDT,1
AGIX-USDT,1
PHB-USDT,1
GMX-USDT,0.01
CFX-USDT,1
STX-USDT,1
BNX-USDT,0.1
ACH-USDT,1
SSV-USDT,0.01
CKB-USDT,1
PERP-USDT,0.1
TRU-USDT,1
LQTY-USDT,0.1
USDC-USDT,1
ID-USDT,1
ARB-USDT,0.1
JOE-USDT,1
TLM-USDT,1
AMB-USDT,1
LEVER-USDT,1
RDNT-USDT,1
HFT-USDT,1
XVS-USDT,0.1
BLUR-USDT,1
EDU-USDT,1
IDEX-USDT,1
SUI-USDT,0.1
1000PEPE-USDT,1
1000FLOKI-USDT,1
UMA-USDT,1
RAD-USDT,1
KEY-USDT,1
COMBO-USDT,0.1
NMR-USDT,0.1
MAV-USDT,1
MDT-USDT,1
XVG-USDT,1
WLD-USDT,1
PENDLE-USDT,1
ARKM-USDT,1
AGLD-USDT,1
YGG-USDT,1
DODOX-USDT,1
BNT-USDT,1
OXT-USDT,1
SEI-USDT,1
CYBER-USDT,0.1
HIFI-USDT,1
ARK-USDT,1
GLMR-USDT,1
BICO-USDT,1
STRAX-USDT,1
LOOM-USDT,1
BIGTIME-USDT,1
BOND-USDT,0.1
ORBS-USDT,1
STPT-USDT,1
WAXP-USDT,1
BSV-USDT,0.1
RIF-USDT,1
POLYX-USDT,1
GAS-USDT,0.1
POWR-USDT,1
SLP-USDT,1
TIA-USDT,1
SNT-USDT,1
CAKE-USDT,1
MEME-USDT,1
TWT-USDT,1
TOKEN-USDT,1
ORDI-USDT,0.1
STEEM-USDT,1
BADGER-USDT,1
ILV-USDT,0.1
NTRN-USDT,1
KAS-USDT,1
BEAMX-USDT,1
1000BONK-USDT,1
PYTH-USDT,1
SUPER-USDT,1
USTC-USDT,1
ONG-USDT,1
ETHW-USDT,1
JTO-USDT,1
1000SATS-USDT,1
AUCTION-USDT,0.01
1000RATS-USDT,1
ACE-USDT,0.01
MOVR-USDT,0.01
NFP-USDT,0.1
AI-USDT,1
XAI-USDT,1
WIF-USDT,0.1
MANTA-USDT,0.1
ONDO-USDT,0.1
LSK-USDT,1
ALT-USDT,1
JUP-USDT,1
ZETA-USDT,1
RONIN-USDT,0.1
DYM-USDT,0.1
OM-USDT,0.1
PIXEL-USDT,1
STRK-USDT,0.1
MAVIA-USDT,0.1
GLM-USDT,1
PORTAL-USDT,0.1
TON-USDT,0.1
AXL-USDT,0.1
MYRO-USDT,1
METIS-USDT,0.01
AEVO-USDT,0.1
VANRY-USDT,1
BOME-USDT,1
ETHFI-USDT,0.1
ENA-USDT,1
W-USDT,0.1
TNSR-USDT,0.1
SAGA-USDT,0.1
TAO-USDT,0.001
OMNI-USDT,0.01
REZ-USDT,1
BB-USDT,1
NOT-USDT,1
TURBO-USDT,1
IO-USDT,0.1
ZK-USDT,1
MEW-USDT,1
LISTA-USDT,1
ZRO-USDT,0.1
RENDER-USDT,0.1
BANANA-USDT,0.1
RARE-USDT,1
G-USDT,1
SYN-USDT,1
SYS-USDT,1
VOXEL-USDT,1
BRETT-USDT,1
ALPACA-USDT,1
POPCAT-USDT,1
SUN-USDT,1
VIDT-USDT,1
NULS-USDT,1
DOGS-USDT,1
MBOX-USDT,1
CHESS-USDT,1
FLUX-USDT,1
BSW-USDT,1
QUICK-USDT,1
NEIROETH-USDT,1
RPL-USDT,0.1
AERGO-USDT,1
POL-USDT,1
UXLINK-USDT,1
1MBABYDOGE-USDT,1
NEIRO-USDT,1
KDA-USDT,1
FIDA-USDT,1
FIO-USDT,1
CATI-USDT,1
GHST-USDT,1
LOKA-USDT,1
HMSTR-USDT,1
REI-USDT,1
COS-USDT,1
EIGEN-USDT,0.1
DIA-USDT,1
1000CAT-USDT,1
SCR-USDT,1
GOAT-USDT,1
MOODENG-USDT,1
SAFE-USDT,1
SANTOS-USDT,0.1
TROY-USDT,1
MATIC-USDT,1.0
GAL-USDT,1.0
RNDR-USDT,0.1
FRONT-USDT,1.0
SRM-USDT,1.0
HNT-USDT,1.0
